species_id,sci_name,sci_name_space,main_common_name,order,family,genus,type_voucher,type_kind,type_locality,type_lat,type_lon,museum_abbreviation,museum_name,museum_location,museum_country,qc_reviewed,qc_review_notes,geocode_phase,geocode_query,type_lat_suggested,type_lon_suggested,coordinate_uncertainty_m,geocode_method,geocode_confidence,geocode_notes,review_status
1004442,Acerodon_celebensis,Acerodon celebensis,Sulawesi Flying Fox,Chiroptera,Pteropodidae,Acerodon,ZMB 4012,lectotype,"""Celebes [= Sulawesi],"" Indonesia.",nan,nan,ZMB,Museum für Naturkunde,"Berlin, Germany",Germany,,,nominatim,"Sulawesi, Germany",,,,nominatim_rejected,none,"Nominatim query derived from type_locality for Acerodon_celebensis.; match=Kerabau, Sulawesi-Hirscheber, Friedrichsfelde, Lichtenberg, Berlin, Deutschland; rejected=country_mismatch: expected one of [Indonesia, Java]",no_estimate
1004443,Acerodon_humilis,Acerodon humilis,Talaud Flying Fox,Chiroptera,Pteropodidae,Acerodon,BMNH:Mamm:1908.7.26.6,holotype,"""Lirong, Talaud Islands,"" Indonesia.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Lirong, Talaud Islands,"" Indonesia",3.937600,126.694697,50000,nominatim,medium,"Nominatim query derived from type_locality for Acerodon_humilis.; match=Lirung, Kabupaten Kepulauan Talaud, Sulawesi Utara, Sulawesi, Indonesia",proposed
1004444,Acerodon_jubatus,Acerodon jubatus,Golden-capped Flying Fox,Chiroptera,Pteropodidae,Acerodon,,,"""Insel [= Island] Luzon, Manilla,"" Philippines.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1004445,Acerodon_leucotis,Acerodon leucotis,Palawan Flying Fox,Chiroptera,Pteropodidae,Acerodon,FMNH:Mamm:63736,holotype,"""Singay, Busuanga Island, Calamianes Group, Philippine Islands.""",nan,nan,FMNH,Field Museum of Natural History,"Chicago, United States of America",United States of America,,,nominatim,"Singay, Busuanga Island, Calamianes Group, Philippine Islands, United States of America",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Acerodon_leucotis.,no_estimate
1004446,Acerodon_macklotii,Acerodon macklotii,Sunda Flying Fox,Chiroptera,Pteropodidae,Acerodon,"RMNH.MAM.37823, RMNH.MAM.37824, RMNH.MAM.37825, RMNH.MAM.37826, RMNH.MAM.37827, RMNH.MAM.37829, SMF 12438, ZMB 2630",syntypes,"""Timor.""",nan,nan,RMNH,Naturalis Biodiversity Center,"Leiden, The Netherlands",The Netherlands,,,nominatim,"Timor, The Netherlands",52.058207,4.539091,50000,nominatim,medium,"Nominatim query derived from type_locality for Acerodon_macklotii.; match=Timor, Oosterheem, Zoetermeer, Zuid-Holland, Nederland, 2721 GA, Nederland",proposed
1005979,Acinonyx_jubatus,Acinonyx jubatus,Cheetah,Carnivora,Felidae,Acinonyx,untraced (number not known),holotype,"Western Cape Province, South Africa.",nan,nan,,,,,,,skipped,,,,,skipped,none,non_geocodeable_voucher_prefix:UNTRACED,skipped
1002845,Acomys_cahirinus,Acomys cahirinus,Northeast African Spiny Mouse,Rodentia,Muridae,Acomys,"MNHN:type:354 (= MNHN ""1224""), MNHN:type:354a (= MNHN ""1225"")",syntypes,"Cairo, Egypt.",nan,nan,MNHN,Museum National d'Histoire Naturelle,"Paris, France",France,,,nominatim,"Cairo, Egypt",30.044388,31.235726,50000,nominatim,medium,"Nominatim query derived from type_locality for Acomys_cahirinus.; match=القاهرة, مصر",proposed
1002846,Acomys_chudeaui,Acomys chudeaui,Chudeau's Spiny Mouse,Rodentia,Muridae,Acomys,MNHN-ZM-MO-1911-2208,holotype,"SW Biskra, Atar, Mauritania.",nan,nan,MNHN,Museum National d'Histoire Naturelle,"Paris, France",France,,,nominatim,"SW Biskra, Atar, Mauritania, France",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Acomys_chudeaui.,no_estimate
1002848,Acomys_cineraceus,Acomys cineraceus,Gray Spiny Mouse,Rodentia,Muridae,Acomys,,,"Doka, Sudan. Restricted by G. M. Allen in 1939 to ""Eastern Sennaar and about Kalabat.""",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002849,Acomys_dimidiatus,Acomys dimidiatus,Arabian Spiny Mouse,Rodentia,Muridae,Acomys,SMF:MAMM:4321,lectotype,"Sinai, Egypt.",nan,nan,SMF,Forschungsinstitut und Naturmuseum Senckenberg,"Frankfurt, Germany",Germany,,,nominatim,"Sinai, Egypt",29.523170,33.805473,50000,nominatim,medium,"Nominatim query derived from type_locality for Acomys_dimidiatus.; match=سيناء, مصر",proposed
1002850,Acomys_ignitus,Acomys ignitus,Fiery Spiny Mouse,Rodentia,Muridae,Acomys,BMNH:Mamm:1910.6.2.120,holotype,"Voi, Kenya.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Voi, Kenya, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Acomys_ignitus.,no_estimate
1002851,Acomys_johannis,Acomys johannis,John's Spiny Mouse,Rodentia,Muridae,Acomys,BMNH:Mamm:1912.1.16.49,holotype,"""Kabwir, 2700' [= 823 m],"" Bauchi Plateau, North Nigeria.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"823 m, United Kingdom",52.190003,-1.493306,50000,nominatim,medium,"Nominatim query derived from type_locality for Acomys_johannis.; match=M, JLR Gaydon Vehicle Proving Ground, Gaydon, Stratford-on-Avon, Warwickshire, England, CV35 0BB, United Kingdom",proposed
1002852,Acomys_kempi,Acomys kempi,Kemp's Spiny Mouse,Rodentia,Muridae,Acomys,,holotype,"N Guaso Nyiro, Chanler Falls, Kenya.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002853,Acomys_louisae,Acomys louisae,Louise's Spiny Mouse,Rodentia,Muridae,Acomys,BMNH:Mamm:1895.5.28.3,holotype,"40 mi (64.5 km) south of Berbera, Somalia.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"40 mi (64, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Acomys_louisae.,no_estimate
1002855,Acomys_mullah,Acomys mullah,Mullah Spiny Mouse,Rodentia,Muridae,Acomys,BMNH:Mamm:1904.5.9.19,holotype,"""Harar,"" Ethiopia.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Harar,"" Ethiopia",9.311840,42.128445,50000,nominatim,medium,"Nominatim query derived from type_locality for Acomys_mullah.; match=ሐረር / Harar, Hareri, ሐረሪ ሕዝብ ክልል Harar هرر, 3200, ኢትዮጵያ",proposed
1002859,Acomys_percivali,Acomys percivali,Percival's Spiny Mouse,Rodentia,Muridae,Acomys,,holotype,"Chanler Falls, Nyiro, Kenya.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002860,Acomys_russatus,Acomys russatus,Golden Spiny Mouse,Rodentia,Muridae,Acomys,,,"Sinai, Egypt.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002861,Acomys_selousi,Acomys selousi,Selous's Spiny Mouse,Rodentia,Muridae,Acomys,BMNH (number not known),holotype,"Essex Farm (Essexvale), Bulawayo district, Zimbabwe.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,skipped,,,,,skipped,none,voucher_number_unknown,skipped
1002862,Acomys_seurati,Acomys seurati,Seurat's Spiny Mouse,Rodentia,Muridae,Acomys,,holotype,"A'hagger (= Hoggar Mountains), Iniker, S Algeria.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002863,Acomys_spinosissimus,Acomys spinosissimus,Southern African Spiny Mouse,Rodentia,Muridae,Acomys,,,"Buio and Tete, Mozambique.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1002864,Acomys_subspinosus,Acomys subspinosus,Cape Spiny Mouse,Rodentia,Muridae,Acomys,BMNH:Mamm:1855.12.24.147,holotype,"""Cape of Good Hope,"" South Africa.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Cape of Good Hope,"" South Africa",-34.358110,18.471930,50000,nominatim,medium,"Nominatim query derived from type_locality for Acomys_subspinosus.; match=Cape of Good Hope, Cape Town Ward 61, City of Cape Town, Western Cape, South Africa",proposed
1002865,Acomys_wilsoni,Acomys wilsoni,Wilson's Spiny Mouse,Rodentia,Muridae,Acomys,,holotype,"Mombasa, Kenya.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1001490,Aconaemys_fuscus,Aconaemys fuscus,Chilean Rock Rat,Rodentia,Octodontidae,Aconaemys,BMNH:Mamm:1855.12.24.195,lectotype,"""from Chile."" Modified by G. R. Waterhouse in 1848 to the Valle de las Cuevas near the Volcano of Peteroa, Argentina.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"from Chile, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aconaemys_fuscus.,no_estimate
1001491,Aconaemys_porteri,Aconaemys porteri,Porter's Rock Rat,Rodentia,Octodontidae,Aconaemys,BMNH:Mamm:1916.11.14.4,holotype,"""Osorno, S. Chile,"" slopes of Volcán Osorno, Los Lagos Region.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Osorno, S, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aconaemys_porteri.,no_estimate
1001492,Aconaemys_sagei,Aconaemys sagei,Sage's Rock Rat,Rodentia,Octodontidae,Aconaemys,MVZ:Mamm:163419,holotype,"""Pampa de Hui Hui, 4 km west and 2 km south of Cerro Quillén, 1050 m, Province of Neuquén, Argentina.""",nan,nan,MVZ,"Museum of Vertebrate Zoology, Berkeley","Berkeley, United States of America",United States of America,,,nominatim,"Pampa de Hui Hui, 4 km west and 2 km south of Cerro Quillén, United States of America",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aconaemys_sagei.,no_estimate
1000331,Acrobates_frontalis,Acrobates frontalis,Broad-toed Feather-tailed Glider,Diprotodontia,Acrobatidae,Acrobates,"QM J568, QM J569, QM J570",syntypes,"""Herbert River, north Queensland,"" Australia.",nan,nan,QM,Queensland Museum,"South Brisbane, Australia",Australia,,,nominatim,"Herbert River, north Queensland,"" Australia",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Acrobates_frontalis.,no_estimate
1000332,Acrobates_pygmaeus,Acrobates pygmaeus,Narrow-toed Feather-tailed Glider,Diprotodontia,Acrobatidae,Acrobates,BMNH:Mamm:1883.3.17.1,lectotype,"""New Holland."" Restricted by T. Iredale and E. Le G. Troughton in 1934 to ""Sydney, New South Wales.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,reject,"[auto] country_mismatch: expected one of [Australia, Tasmania]",nominatim,New Holland,,,,nominatim,none,"QC rejected: [auto] country_mismatch: expected one of [Australia, Tasmania]",no_estimate
1006233,Addax_nasomaculatus,Addax nasomaculatus,Addax,Artiodactyla,Bovidae,Addax,BMNH:Mamm:639d,holotype,"no type locality given. Restricted by R. Lydekker in 1914 to ""Senegambia."" Further restricted by P. Grubb in 2005 to ""Tunisian Sahara.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"no type locality given, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Addax_nasomaculatus.,no_estimate
1002755,Aepeomys_lugens,Aepeomys lugens,Merida Montane Mouse,Rodentia,Cricetidae,Aepeomys,BMNH:Mamm:1896.11.1.5,holotype,"""La Loma del Morro, near Merida [Mérida], Venezuela, alt. 3000 metres.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"La Loma del Morro, near Merida [Mérida], Venezuela, alt, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aepeomys_lugens.,no_estimate
1006130,Aepyceros_melampus,Aepyceros melampus,Impala,Artiodactyla,Bovidae,Aepyceros,,,"Khosis, Kuruman District, Northern Cape, South Africa.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1000319,Aepyprymnus_rufescens,Aepyprymnus rufescens,Rufous Bettong,Diprotodontia,Potoroidae,Aepyprymnus,BMNH:Mamm:1866.8.6.3,holotype,"type locality not given. Identified by T. Iredale and E. Le. G. Troughton in 1934 as ""New South Wales,"" Australia.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"type locality not given, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aepyprymnus_rufescens.,no_estimate
1001611,Aeretes_melanopterus,Aeretes melanopterus,Northern Chinese Flying Squirrel,Rodentia,Sciuridae,Aeretes,"MNHN-ZM-MO-1867-554 (= MNHN:type:276) (= MNHN ""39"")",holotype,"""Province of Hebei, China.""",nan,nan,MNHN,Museum National d'Histoire Naturelle,"Paris, France",France,,,nominatim,"Province of Hebei, China",40.843854,114.879501,50000,nominatim,medium,"Nominatim query derived from type_locality for Aeretes_melanopterus.; match=长城, 西沟社区, 大境门街道, 桥西区, 张家口市, 河北省, 075000, 中国",proposed
1001612,Aeromys_tephromelas,Aeromys tephromelas,Black Flying Squirrel,Rodentia,Sciuridae,Aeromys,BMNH (number not known),syntypes,"""Wellesley, Penang I, Malaysia.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,skipped,,,,,skipped,none,voucher_number_unknown,skipped
1001613,Aeromys_thomasi,Aeromys thomasi,Thomas's Flying Squirrel,Rodentia,Sciuridae,Aeromys,BMNH:Mamm:1899.12.9.32,holotype,"""Baram, Sarawak, Malaysia.""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Baram, Sarawak, Malaysia",3.203207,115.389906,50000,nominatim,medium,"Nominatim query derived from type_locality for Aeromys_thomasi.; match=Baram, Bario, Miri, Bahagian Miri, Sarawak, Malaysia",proposed
1006428,Aethalodelphis_obliquidens,Aethalodelphis obliquidens,Pacific White-sided Dolphin,Artiodactyla,Delphinidae,Aethalodelphis,"USNM:MAMM:A1961, USNM:MAMM:A1962, USNM:MAMM:A1963",syntypes,"""obtained at San Francisco, California,"" USA.",nan,nan,USNM,"National Museum of Natural History, Smithsonian Institution","Washington, D.C., United States of America",United States of America,,,nominatim,"obtained at San Francisco, California,"" USA, United States of America",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethalodelphis_obliquidens.,no_estimate
1006429,Aethalodelphis_obscurus,Aethalodelphis obscurus,Dusky Dolphin,Artiodactyla,Delphinidae,Aethalodelphis,BMNH:Mamm:1841.1733,syntypes,"""Inhab. Cape of Good Hope,"" Western Cape Province, South Africa.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Inhab, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethalodelphis_obscurus.,no_estimate
1004357,Aethalops_aequalis,Aethalops aequalis,Bornean Pygmy Fruit Bat,Chiroptera,Pteropodidae,Aethalops,MCZ:Mamm:36582,holotype,"""Lumu Lumu, Mt. Kinabalu, British North Borneo, altitude 5500 feet [= 1676 m],"" Sabah, Malaysia.",nan,nan,MCZ,The Louis Agassiz Museum of Comparative Zoology,"Cambridge, United States of America",United States of America,,,nominatim,"1676 m, United States of America",,,,nominatim_rejected,none,"Nominatim query derived from type_locality for Aethalops_aequalis.; match=1676, County Road M, Florence Township, Williams County, Ohio, 43518, United States; rejected=country_mismatch: expected one of [Malaysia, Sabah]",no_estimate
1004358,Aethalops_alecto,Aethalops alecto,Common Pygmy Fruit Bat,Chiroptera,Pteropodidae,Aethalops,BMNH:Mamm:1923.1.2.1,holotype,"""Indrapura Peak, Sumatra [Indonesia]. Alt. 7300' [= 2225 m].""",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"2225 m, United Kingdom",,,,nominatim_rejected,none,"Nominatim query derived from type_locality for Aethalops_alecto.; match=M, JLR Gaydon Vehicle Proving Ground, Gaydon, Stratford-on-Avon, Warwickshire, England, CV35 0BB, United Kingdom; rejected=country_mismatch: expected one of [Indonesia, Java]",no_estimate
1003032,Aethomys_bocagei,Aethomys bocagei,Bocage's Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1904.4.9.62,holotype,"Pungo Andongo, Angola.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Pungo Andongo, Angola, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_bocagei.,no_estimate
1003033,Aethomys_chrysophilus,Aethomys chrysophilus,Red Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1895.11.3.23,holotype,"Mazoe, Mashonaland, Zimbabwe.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Mazoe, Mashonaland, Zimbabwe, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_chrysophilus.,no_estimate
1003034,Aethomys_hindei,Aethomys hindei,Hinde's Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1901.12.9.9,holotype,"Machakos, Kenya.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Machakos, Kenya, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_hindei.,no_estimate
1003035,Aethomys_ineptus,Aethomys ineptus,Tete Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1908.4.3.73,holotype,"Tette (= Tete), Zambezi River, Mozambique.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Tette (= Tete), Zambezi River, Mozambique, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_ineptus.,no_estimate
1003036,Aethomys_kaiseri,Aethomys kaiseri,Kaiser's Rock Rat,Rodentia,Muridae,Aethomys,,syntypes,"""Mpala (Marunga),"" DR Congo.",nan,nan,,,,,,,skipped,,,,,skipped,none,missing_type_voucher,skipped
1003037,Aethomys_nyikae,Aethomys nyikae,Nyika Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1897.10.1.189,holotype,"Nyika Plateau, N Malawi.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Nyika Plateau, N Malawi, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_nyikae.,no_estimate
1003038,Aethomys_silindensis,Aethomys silindensis,Selinda Rock Rat,Rodentia,Muridae,Aethomys,TM 8370,holotype,"Chirinda Forest, Mt Selinda, E Zimbabwe.",nan,nan,TM,Ditsong National Museum of Natural History,"Pretoria, South Africa",South Africa,,,nominatim,"Chirinda Forest, Mt Selinda, E Zimbabwe, South Africa",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_silindensis.,no_estimate
1003039,Aethomys_stannarius,Aethomys stannarius,West African Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1913.2.5.7,holotype,"Kabwir, Bauchi Province, N Nigeria.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Kabwir, Bauchi Province, N Nigeria, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_stannarius.,no_estimate
1003040,Aethomys_thomasi,Aethomys thomasi,Thomas's Rock Rat,Rodentia,Muridae,Aethomys,BMNH:Mamm:1897.8.6.14,holotype,"Galanga, Angola.",nan,nan,BMNH,"Natural History Museum, London","London, United Kingdom",United Kingdom,,,nominatim,"Galanga, Angola, United Kingdom",,,,nominatim_no_match,none,Nominatim query derived from type_locality for Aethomys_thomasi.,no_estimate
