priority,review_category,likely_action,prefix_species_count,species_id,sci_name,main_common_name,order,family,type_kind,type_voucher,extracted_voucher_prefix,candidate_prefix_to_research,type_locality,type_voucher_uris,extinct,domestic
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1005202,Molossus_molossus,Pallas's Mastiff Bat,Chiroptera,Molossidae,lectotype,larger specimen of Daubenton,LARGER,LARGER,"America. Restricted by A. M. Husson in 1962 to Martinique, Lesser Antilles.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1006762,Lepus_saharae,West Sahara Hare,Lagomorpha,Leporidae,holotype,"Laâyoune REF 021/2019 Awserd, Laâyoune REF 022/2019 Awserd",LAÂYOUNE,LAÂYOUNE,"""northwest of Aoussard Province, western Sahara, Morocco.""",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1002043,Chionomys_lasistanius,Lazistan Snow Vole,Rodentia,Cricetidae,holotype,Neuhäuser collection 2231,NEUHÄUSER,NEUHÄUSER,"Varsambeg Dağ, Rize, Turkey.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1001307,Ctenomys_australis,Dune Tuco-tuco,Rodentia,Ctenomyidae,holotype,Rusconi 376,RUSCONI,RUSCONI,"""Necochea (F.C.S.), Provincia de Buenos Aires,"" 38°33' S, 58°45' W, 10 m.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1003897,Crocidura_glassi,Glass's White-toothed Shrew,Eulipotyphla,Soricidae,holotype,Stillwater 2107/5151,STILLWATER,STILLWATER,"""Camp in Gara Mulata Mts, Harar,"" Ethiopia.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1001961,Allactodipus_bobrinskii,Bobrinski's Jerboa,Rodentia,Dipodidae,syntypes,"Tashkent 401, Tashkent 402",TASHKENT,TASHKENT,"Khala-Ata, 140 km NW Bukhara, Uzbekistan.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1006908,Meriones_dahli,Dahl's Jird,Rodentia,Muridae,holotype,Yerevan 5504-8,YEREVAN,YEREVAN,"foothills of Vardanis (Saraibulak) Ridge, Sadarak steppe, Armenia.",,False,False
3_low,locality_or_person_name,Likely locality/person text rather than a museum code; verify manually before adding metadata.,1,1006658,Dinaromys_longipedis,Western Dinaric Vole,Rodentia,Cricetidae,holotype,Đulić 486,ĐULIĆ,ĐULIĆ,"""Rupe-Kolibe Petra Četnika, Čatrna voda, [Mt.] Dinara, 1420 m above sea level, Dalmatia, Yugoslavia”, now Croatia.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1000765,Alouatta_seniculus,Colombian Red Howler,Primates,Atelidae,lectotype,specimen collected by Jacquin in Cartagena,SPECIMEN,SPECIMEN,"Cartagena, department of Bolívar, Colombia.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1006113,Diceros_bicornis,Black Rhinoceros,Perissodactyla,Rhinocerotidae,lectotype,specimen described by Kolbius,SPECIMEN,SPECIMEN,South Africa.,,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1007017,Diplomesodon_sonnerati,Sonnerat's Shrew,Eulipotyphla,Soricidae,holotype,Specimen illustrated by Sonnerat,SPECIMEN,SPECIMEN,"""Vicinity of Pondicherry/Puducherry, southern India.""",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1000621,Macaca_silenus,Lion-tailed Macaque,Primates,Cercopithecidae,neotype,specimen figured by Buffon,SPECIMEN,SPECIMEN,"""Ceylon."" Corrected by J. Fooden in 1975 to India, Western Ghats, inland from Malabar coast.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1000034,Philander_quica,Southern Four-eyed Opossum,Didelphimorphia,Didelphidae,lectotype,specimen collected by Natterer,SPECIMEN,SPECIMEN,"Sepetiba, near Rio de Janeiro, Brazil.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1005852,Pteronura_brasiliensis,Giant Otter,Carnivora,Mustelidae,lectotype,specimen described by Barrère,SPECIMEN,SPECIMEN,"“río São Franciso, en la orilla correspondiente al estado de Alagoas,” Brazil.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,7,1006017,Puma_concolor,Puma,Carnivora,Felidae,lectotype,specimen described by Marcgraf,SPECIMEN,SPECIMEN,"Cayenne region, French Guiana.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,4,1000610,Macaca_leucogenys,White-cheeked Macaque,Primates,Cercopithecidae,holotype,photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Gangrigebu (29° 28' 19.73"" N, 95° 49' 25.00"" E), 2410 m, Mêdog County, Tibet [= Xizang], China.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,4,1000613,Macaca_munzala,Arunachal Macaque,Primates,Cercopithecidae,holotype,photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Zemithang (27° 42' N, 91° 43' E, at 2180 m above sea level), Tawang district, Arunachal Pradesh, India.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,4,1006642,Macaca_selai,Sela Macaque,Primates,Cercopithecidae,holotype,Photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"""Nyukmadung (27.4057°N, 92.1332°E), West Kameng district of Arunachal Pradesh, altitude 2016 above sea level.""",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,4,1000634,Rungwecebus_kipunji,Kipunji,Primates,Cercopithecidae,holotype,Photographed specimen,PHOTOGRAPHED,PHOTOGRAPHED,"Rungwe-Livingstone (09° 07' S to 09° 11' S and 33° 40' E to 33° 55' E), Southern Highlands, Tanzania.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,2,1003411,Otomys_sungae,Eastern Arc Vlei Rat,Rodentia,Muridae,holotype,Bohmann collection 582,BOHMANN,BOHMANN,"""Sunga, Usambara-Gebirge [= Usambara Mountain Range], Deutsch-Ostafrika [= German East Africa], Meereshöhe [= at sea level] 1900 m,"" Tanzania.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,2,1003419,Otomys_zinki,Mount Kilimanjaro Vlei Rat,Rodentia,Muridae,holotype,Bohmann collection 548,BOHMANN,BOHMANN,"Peters Hut, 3800 m, Kilimanjaro, ""German East Africa"" (= Tanzania).",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,2,1006105,Civettictis_civetta,African Civet,Carnivora,Viverridae,lectotype,Buffon's specimen,BUFFON'S,BUFFON'S,Guinea.,,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,2,1001610,Sciurillus_pusillus,Neotropical Pygmy Squirrel,Rodentia,Sciuridae,lectotype,Buffon's specimen,BUFFON'S,BUFFON'S,"""Cayenne"" in French Guiana.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,1,1000707,Trachypithecus_leucocephalus,White-headed Langur,Primates,Cercopithecidae,lectotype,figured specimen,FIGURED,FIGURED,"Fusui County, Guangxi, China.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,1,1000599,Cercocebus_sanjei,Sanje River Mangabey,Primates,Cercopithecidae,lectotype,male figured and described by Homewood & Rodgers,MALE,MALE,"Tanzania, Sanje Waterfall, Mwanihana Forest.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,1,1000424,Dasypus_novemcinctus,Southern Long-nosed Armadillo,Cingulata,Dasypodidae,lectotype,Marcgrave's figured specimen,MARCGRAVE'S,MARCGRAVE'S,"""in America meridionali."" Restricted by A. Cabrera in 1958 to Pernambuco, Brazil.",,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,1,1005890,Potos_flavus,Kinkajou,Carnivora,Procyonidae,lectotype,Pennant's specimen of _Potos flavus_,PENNANT'S,PENNANT'S,Surinam.,,False,False
3_low,non_institution_description,Treat as historical figure/specimen wording; only research if a cited work names a repository.,1,1000417,Cabassous_unicinctus,Amazon Naked-tailed Armadillo,Cingulata,Chlamyphoridae,lectotype,"Seba pl. 30, fig. 3",SEBA,SEBA,"""Africa."" Corrected by G. L. L. Buffon in 1763 to ""l'Amérique."" Restricted by O. Thomas in 1911 to Suriname, South America.",,False,False
3_low,released_or_unpreserved_specimen,Specimen was released or not preserved; do not add museum metadata unless a repository is named.,1,1000973,Avahi_cleesei,Bemaraha Woolly Lemur,Primates,Indriidae,holotype,"""_Avahi_ male (body weight = 830 g) captured in Bemaraha on 3 October 1991."" The specimen was released.","""_AVAHI_","""_AVAHI_","18° 59' S, 44° 45' E, approximately 3 km east-north-east of the village of Ambalarano, western Madagascar.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005979,Acinonyx_jubatus,Cheetah,Carnivora,Felidae,holotype,untraced (number not known),UNTRACED,UNTRACED,"Western Cape Province, South Africa.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1002393,Akodon_boliviensis,Bolivian Grass Mouse,Rodentia,Cricetidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Pichu-Pichún, 14,000 ft., Puno, Peru.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006131,Alcelaphus_buselaphus,Hartebeest,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Morocco.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000756,Alouatta_belzebul,Eastern Red-handed Howler,Primates,Atelidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Brazil. Restricted by O. Thomas in 1911 to Pernambuco, Brazil, and subsequently restricted by A. Cabrera in 1957 to the Rio Capim, eastern Pará.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006177,Ammotragus_lervia,Aoudad,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,N Africa.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1004898,Anoura_peruana,Tschudi's Tailless Bat,Chiroptera,Phyllostomidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Hacienda der Cejaregion 5000' [= 1524 m] ü. M. am Ostabhange der Binnencordillera, Junín, Peru.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006138,Antidorcas_marsupialis,Springbok,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Cape Province, South Africa.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005853,Arctonyx_albogularis,Northern Hog Badger,Carnivora,Mustelidae,holotype,untraced (number not known),UNTRACED,UNTRACED,Tibet.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000768,Ateles_chamek,Black Spider Monkey,Primates,Atelidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Peru. Restricted by Kellogg and E. Goldman in 1944 to the Río Comberciato, affluent of the Río Urubamba, Cuzco, Peru.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000773,Ateles_paniscus,Red-faced Black Spider Monkey,Primates,Atelidae,lectotype,untraced (number not known),UNTRACED,UNTRACED,"South America, Brazil. Restricted by É. Geoffroy Saint-Hilaire in 1803 to French Guiana.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1001282,Atherurus_macrourus,Asian Brush-tailed Porcupine,Rodentia,Hystricidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Habitat in Asia."" Restricted by M. W. Lyon, Jr. in 1907 to ""Malacca,"" Malay Peninsula.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000974,Avahi_laniger,Eastern Woolly Lemur,Primates,Indriidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Madagascar, Betanimena country, Antongil Bay.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006307,Axis_axis,Chital,Artiodactyla,Cervidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Banks of Ganges, Bihar (India).",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006310,Axis_porcinus,Hog Deer,Artiodactyla,Cervidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,West Bengal (India).,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006397,Balaenoptera_acutorostrata,Common Minke Whale,Artiodactyla,Balaenopteridae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"France, ""pris aux environs de la rade de Cherbourg,"" Manche.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005649,Barbastella_barbastellus,Western Barbastelle,Chiroptera,Vespertilionidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Burgundy, France.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006261,Bos_grunniens,Domestic Yak,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Tibetan Plateau, China.",,False,True
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006254,Boselaphus_tragocamelus,Nilgai,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Bengal, India.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006268,Bubalus_arnee,Asian Wild Buffalo,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"India, north from Bengal. Restricted by Harper in 1940 to Koch Behar, India.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006269,Bubalus_bubalis,Water Buffalo,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,India.,,False,True
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006382,Camelus_bactrianus,Domestic Bactrian Camel,Artiodactyla,Camelidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"habitat in Africa. Restricted to ""Bactria"" (Uzbekistan, Bokhara) by Thomas in 1911 based on domestic stock.",,False,True
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006180,Capra_aegagrus,Wild Goat,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Daghestan District of Caucasus, S Russia.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006181,Capra_caucasica,Kuban Tur,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Central Caucasus.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006188,Capra_sibirica,Siberian Ibex,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Siberia.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006287,Capreolus_pygargus,Eastern Roe Deer,Artiodactyla,Cervidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"river Sok, Trans-Volga region (Russia).",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006192,Capricornis_sumatraensis,Maned Serow,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Sumatra.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005981,Caracal_caracal,Caracal,Carnivora,Felidae,holotype,untraced (number not known),UNTRACED,UNTRACED,"Table Mountain, near Cape Town, South Africa.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000831,Cebus_capucinus,White-faced Capuchin,Primates,Cebidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Colombia. Restricted by E. A. Goldman in 1914 to northern Colombia.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000600,Cercocebus_torquatus,Red-capped Mangabey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Ethiopia (= West Africa).,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000563,Cercopithecus_ascanius,Red-tailed Monkey,Primates,Cercopithecidae,holotype,untraced (number not known),UNTRACED,UNTRACED,"no type locality specified. Restricted by A.B. Machado in 1969 to north-west Angola, by the lower Congo River.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000567,Cercopithecus_diana,Diana Monkey,Primates,Cercopithecidae,holotype,untraced (number not known),UNTRACED,UNTRACED,Guinea (probably Liberia).,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000575,Cercopithecus_mona,Mona Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Barbary.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000577,Cercopithecus_nictitans,Putty-nosed Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Guinea. Restricted by C. P. Groves in 2005 to Equatorial Guinea, Benito River.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000578,Cercopithecus_petaurista,Spot-nosed Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Guinea.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000580,Cercopithecus_roloway,Roloway Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Guinea (West Africa).,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005947,Cerdocyon_thous,Crab-eating Fox,Carnivora,Canidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,Suriname.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006312,Cervus_canadensis,Wapiti,Artiodactyla,Cervidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,E Canada.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000017,Chironectes_minimus,Water Opossum,Didelphimorphia,Didelphidae,holotype,untraced (number not known),UNTRACED,UNTRACED,"""Gujana."" Restricted by A. Cabrera in 1958 to ""Cayenne, French Guiana.""",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000584,Chlorocebus_cynosuros,Malbrouck Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Democratic Republic of the Congo, Lower Congo, Banana, fixed by E. Schwarz in 1928.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000587,Chlorocebus_sabaeus,Green Monkey,Primates,Cercopithecidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Cape Verde Islands,"" probably Senegal.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1000433,Choloepus_didactylus,Linnaeus's Two-toed Sloth,Pilosa,Choloepodidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""in Zeylona."" Corrected by O. Thomas in 1911 to Suriname.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005522,Cnephaeus_hottentotus,Long-tailed Serotine,Chiroptera,Vespertilionidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Uitenhage, Eastern Cape Province, South Africa.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006738,Cnephaeus_kobayashii,Kobayashi's Serotine,Chiroptera,Vespertilionidae,holotype,untraced (number not known),UNTRACED,UNTRACED,"Heijo, Heian, Nando, Korea.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005531,Cnephaeus_serotinus,Eurasian Serotine,Chiroptera,Vespertilionidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,France.,,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006591,Coendou_longicaudatus,Amazonian Long-tailed Porcupine,Rodentia,Erethizontidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Cayenne, French Guiana.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005804,Conepatus_chinga,Molina's Hog-nosed Skunk,Carnivora,Mephitidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""Chili"", restricted to ""alrededores de Valparaíso"". [Chile].",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005806,Conepatus_semistriatus,Striped Hog-nosed Skunk,Carnivora,Mephitidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Originally described from ""Mexico"". Type locality later described as ""Minas de Montuosa, cerca de Pamplona, departamento del norte de Santander, Colombia"".",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1006133,Connochaetes_gnou,Black Wildebeest,Artiodactyla,Bovidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"Cape of Good Hope. Restricted by P. Grubb in 1999 to Agterbruintjieshoogte, Somerset East district.",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005656,Corynorhinus_rafinesquii,Rafinesque's Big-eared Bat,Chiroptera,Vespertilionidae,nonexistent,untraced (number not known),UNTRACED,UNTRACED,"""les Etats-Unis."" Restricted by C. O. Handley, Jr. in 1959 to ""Mount Carmel, Wabash County, Ill[inois].""",,False,False
4_no_action,lost_or_untraced,Do not add museum metadata unless primary literature identifies a repository.,234,1005657,Corynorhinus_townsendii,Townsend's Big-eared Bat,Chiroptera,Vespertilionidae,syntypes,untraced (number not known),UNTRACED,UNTRACED,"""Columbia River."" Restricted by C. O. Handley, Jr. in 1959 to Fort Vancouver, Clark County, Washington, USA.",,False,False
